Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	Ras protein signal transduction (GO:0007265)	2/142	3.813766e-01	4.856330e-01	0	0	1.527484e+00	1.472446e+00	DNMT1;SETDB1
GO_Biological_Process_2021	negative regulation of BMP signaling pathway (GO:0030514)	1/52	3.852166e-01	4.870865e-01	0	0	2.094648e+00	1.998188e+00	TRIM33
GO_Biological_Process_2021	negative regulation of cellular biosynthetic process (GO:0031327)	1/52	3.852166e-01	4.870865e-01	0	0	2.094648e+00	1.998188e+00	EP300
GO_Biological_Process_2021	negative regulation of protein-containing complex assembly (GO:0031333)	1/52	3.852166e-01	4.870865e-01	0	0	2.094648e+00	1.998188e+00	EP300
GO_Biological_Process_2021	plasma membrane bounded cell projection morphogenesis (GO:0120039)	1/52	3.852166e-01	4.870865e-01	0	0	2.094648e+00	1.998188e+00	UBB
GO_Biological_Process_2021	positive regulation of B cell activation (GO:0050871)	1/53	3.909490e-01	4.908959e-01	0	0	2.054262e+00	1.929318e+00	TP53BP1
GO_Biological_Process_2021	positive regulation of chemokine production (GO:0032722)	1/53	3.909490e-01	4.908959e-01	0	0	2.054262e+00	1.929318e+00	AIRE
GO_Biological_Process_2021	regulation of DNA replication (GO:0006275)	1/53	3.909490e-01	4.908959e-01	0	0	2.054262e+00	1.929318e+00	EHMT2
GO_Biological_Process_2021	positive regulation of NIK/NF-kappaB signaling (GO:1901224)	1/53	3.909490e-01	4.908959e-01	0	0	2.054262e+00	1.929318e+00	EP300
GO_Biological_Process_2021	regulation of cyclin-dependent protein kinase activity (GO:1904029)	1/54	3.966282e-01	4.963008e-01	0	0	2.015400e+00	1.863753e+00	ACTB
GO_Biological_Process_2021	regulation of proteasomal protein catabolic process (GO:0061136)	1/54	3.966282e-01	4.963008e-01	0	0	2.015400e+00	1.863753e+00	UBB
GO_Biological_Process_2021	negative regulation of cytokine-mediated signaling pathway (GO:0001960)	1/55	4.022547e-01	5.016026e-01	0	0	1.977978e+00	1.801285e+00	H2BC11
GO_Biological_Process_2021	positive regulation of response to DNA damage stimulus (GO:2001022)	1/55	4.022547e-01	5.016026e-01	0	0	1.977978e+00	1.801285e+00	H2AX
GO_Biological_Process_2021	brain development (GO:0007420)	2/150	4.075807e-01	5.050645e-01	0	0	1.444330e+00	1.296310e+00	BPTF;PHF8
GO_Biological_Process_2021	cellular response to organic cyclic compound (GO:0071407)	2/150	4.075807e-01	5.050645e-01	0	0	1.444330e+00	1.296310e+00	H2AZ1;ACTB
GO_Biological_Process_2021	regulation of ATP metabolic process (GO:1903578)	1/56	4.078291e-01	5.050645e-01	0	0	1.941916e+00	1.741719e+00	EP300
GO_Biological_Process_2021	telomere maintenance (GO:0000723)	1/56	4.078291e-01	5.050645e-01	0	0	1.941916e+00	1.741719e+00	H3-4
GO_Biological_Process_2021	regulation of reactive oxygen species metabolic process (GO:2000377)	1/57	4.133517e-01	5.101538e-01	0	0	1.907143e+00	1.684878e+00	SIRT5
GO_Biological_Process_2021	negative regulation of cell cycle G2/M phase transition (GO:1902750)	1/57	4.133517e-01	5.101538e-01	0	0	1.907143e+00	1.684878e+00	MACROH2A1
GO_Biological_Process_2021	regulation of cell population proliferation (GO:0042127)	8/764	4.172918e-01	5.141377e-01	0	0	1.132989e+00	9.901974e-01	ING4;KAT2B;PBRM1;H2AC6;UHRF1;H2AC4;RPS6;DOT1L
GO_Biological_Process_2021	fat cell differentiation (GO:0045444)	1/58	4.188231e-01	5.142692e-01	0	0	1.873589e+00	1.630597e+00	EP300
GO_Biological_Process_2021	regulation of tumor necrosis factor-mediated signaling pathway (GO:0010803)	1/58	4.188231e-01	5.142692e-01	0	0	1.873589e+00	1.630597e+00	H2BC11
GO_Biological_Process_2021	negative regulation of autophagy (GO:0010507)	1/59	4.242438e-01	5.200408e-01	0	0	1.841193e+00	1.578725e+00	KDM4A
GO_Biological_Process_2021	mitotic spindle organization (GO:0007052)	2/157	4.300655e-01	5.262835e-01	0	0	1.378612e+00	1.163297e+00	CENPN;CENPA
GO_Biological_Process_2021	cellular component assembly (GO:0022607)	3/261	4.386415e-01	5.358700e-01	0	0	1.242598e+00	1.023991e+00	CREBBP;KMT2A;ACTB
GO_Biological_Process_2021	organonitrogen compound catabolic process (GO:1901565)	1/63	4.454281e-01	5.432418e-01	0	0	1.722058e+00	1.392661e+00	TRIM24
GO_Biological_Process_2021	regulation of cellular ketone metabolic process (GO:0010565)	1/64	4.506019e-01	5.477014e-01	0	0	1.694637e+00	1.350916e+00	SIRT5
GO_Biological_Process_2021	protein catabolic process (GO:0030163)	1/64	4.506019e-01	5.477014e-01	0	0	1.694637e+00	1.350916e+00	TRIM24
GO_Biological_Process_2021	regulation of cellular catabolic process (GO:0031329)	1/65	4.557277e-01	5.520729e-01	0	0	1.668074e+00	1.310872e+00	EP300
GO_Biological_Process_2021	protein autoubiquitination (GO:0051865)	1/65	4.557277e-01	5.520729e-01	0	0	1.668074e+00	1.310872e+00	UHRF1
GO_Biological_Process_2021	positive regulation of cell death (GO:0010942)	1/66	4.608060e-01	5.545032e-01	0	0	1.642328e+00	1.272440e+00	DAXX
GO_Biological_Process_2021	cell-cell junction assembly (GO:0007043)	1/66	4.608060e-01	5.545032e-01	0	0	1.642328e+00	1.272440e+00	ACTB
GO_Biological_Process_2021	cellular response to nutrient levels (GO:0031669)	1/66	4.608060e-01	5.545032e-01	0	0	1.642328e+00	1.272440e+00	EHMT2
GO_Biological_Process_2021	embryonic organ development (GO:0048568)	1/66	4.608060e-01	5.545032e-01	0	0	1.642328e+00	1.272440e+00	KMT2A
GO_Biological_Process_2021	positive regulation of catabolic process (GO:0009896)	1/67	4.658371e-01	5.596246e-01	0	0	1.617363e+00	1.235535e+00	BARD1
GO_Biological_Process_2021	negative regulation of programmed cell death (GO:0043069)	4/381	4.743297e-01	5.687060e-01	0	0	1.133122e+00	8.451416e-01	BARD1;UBB;UBC;UBA52
GO_Biological_Process_2021	negative regulation of cellular catabolic process (GO:0031330)	1/69	4.757596e-01	5.687060e-01	0	0	1.569634e+00	1.165991e+00	KDM4A
GO_Biological_Process_2021	cellular response to calcium ion (GO:0071277)	1/69	4.757596e-01	5.687060e-01	0	0	1.569634e+00	1.165991e+00	LCE1D
GO_Biological_Process_2021	positive regulation of macromolecule metabolic process (GO:0010604)	4/384	4.803864e-01	5.717145e-01	0	0	1.124002e+00	8.240787e-01	DNMT1;SETDB1;DNMT3B;MPHOSPH8
GO_Biological_Process_2021	carbohydrate homeostasis (GO:0033500)	1/70	4.806519e-01	5.717145e-01	0	0	1.546808e+00	1.133210e+00	RPS6
GO_Biological_Process_2021	DNA-templated transcription, termination (GO:0006353)	1/70	4.806519e-01	5.717145e-01	0	0	1.546808e+00	1.133210e+00	PRMT5
GO_Biological_Process_2021	Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096)	1/71	4.854988e-01	5.736991e-01	0	0	1.524633e+00	1.101667e+00	ACTB
GO_Biological_Process_2021	regulation of glycolytic process (GO:0006110)	1/71	4.854988e-01	5.736991e-01	0	0	1.524633e+00	1.101667e+00	EP300
GO_Biological_Process_2021	regulation of hematopoietic stem cell differentiation (GO:1902036)	1/71	4.854988e-01	5.736991e-01	0	0	1.524633e+00	1.101667e+00	KMT2A
GO_Biological_Process_2021	myeloid leukocyte differentiation (GO:0002573)	1/71	4.854988e-01	5.736991e-01	0	0	1.524633e+00	1.101667e+00	EP300
GO_Biological_Process_2021	extrinsic apoptotic signaling pathway (GO:0097191)	1/72	4.903007e-01	5.746706e-01	0	0	1.503083e+00	1.071302e+00	DAXX
GO_Biological_Process_2021	Fc-gamma receptor signaling pathway (GO:0038094)	1/72	4.903007e-01	5.746706e-01	0	0	1.503083e+00	1.071302e+00	ACTB
